origin,valuation,reported,open,closed_no_pay,closed_with_pay,gross_paid,gross_incurred,net_paid,net_incurred
2005,2005,37524,9177,6398,21949,53775609,59357757,38034350,40897791
1995,2006,27533,9,4860,22664,43439148,43439351,29394460,29394220
1996,2006,27483,8,4666,22809,45503496,45503496,29964010,29963376
1997,2006,29070,13,4619,24438,48965674,48966230,32158555,32156476
1998,2006,31080,16,4844,26220,53886611,53890796,35438067,35429125
1999,2006,35141,27,6041,29073,59758855,59763994,39035233,39022906
2000,2006,36982,32,6427,30523,63468250,63455609,41569027,41542193
2001,2006,37229,51,6395,30783,67182982,67177179,44680677,44604026
2002,2006,36578,90,6023,30465,64676899,64601916,43120792,43007921
2003,2006,35108,133,5980,28995,60644276,60576414,41032104,40950536
2004,2006,35326,288,6241,28797,61372050,61073582,41695203,41371226
2005,2006,38290,1702,7679,28909,64349015,63404161,43935896,43220204
2006,2006,38593,9439,6598,22556,54481134,59522621,38902024,41391301
1995,2007,27533,5,4861,22667,43439148,43439351,29394336,29394220
1996,2007,27483,7,4666,22810,45503496,45503496,29963873,29963376
1997,2007,29070,5,4619,24446,48965674,48965674,32158471,32158471
1998,2007,31080,12,4845,26223,53886611,53890796,35437935,35429125
1999,2007,35142,18,6042,29082,59760469,59765495,39036847,39024936
2000,2007,36982,22,6428,30532,63468250,63455281,41565789,41543214
2001,2007,37229,40,6393,30796,67182982,67181135,44664749,44625917
2002,2007,36579,49,6024,30506,64680699,64681277,43091838,43072572
2003,2007,35108,71,5981,29056,60645250,60651337,41019864,40976450
2004,2007,35328,133,6253,28942,61388086,61401707,41645875,41546926
2005,2007,38299,296,7871,30132,64458825,64349673,43714064,43511026
2006,2007,39394,1697,8005,29692,64536433,63619879,43791237,42963619
2007,2007,38035,9338,6363,22334,54636254,59636037,37958378,40318673
1995,2008,27533,4,4861,22668,43439148,43439351,29394017,29394220
1996,2008,27483,9,4666,22808,45503496,45503496,29962356,29953494
1997,2008,29070,1,4619,24450,48965674,48965674,32158471,32158471
1998,2008,31080,12,4845,26223,53886611,53890793,35437935,35431931
1999,2008,35142,16,6044,29082,59760469,59765431,39036674,39034816
2000,2008,36982,14,6429,30539,63468250,63467921,41565602,41555130
2001,2008,37229,29,6394,30806,67182982,67185265,44664358,44632918
2002,2008,36579,37,6024,30518,64680743,64680749,43085623,43073819
2003,2008,35108,49,5982,29077,60662750,60664482,41014820,40997135
2004,2008,35329,74,6258,28997,61393843,61409050,41623090,41574241
2005,2008,38300,136,7885,30279,64460877,64466190,43649092,43590935
2006,2008,39401,302,8224,30875,64574350,64454308,43495867,43294588
2007,2008,39104,1611,7925,29568,65422156,64920852,43510059,43046217
2008,2008,38921,9236,6226,23459,56922407,62171577,40803657,43061013
1995,2009,27533,3,4861,22669,43439148,43439351,29394017,29394220
1996,2009,27483,7,4666,22810,45503496,45503496,29961459,29953494
1997,2009,29070,4,4619,24447,48965674,48965674,32158471,32158471
1998,2009,31080,12,4845,26223,53886611,53890793,35437935,35431931
1999,2009,35142,9,6045,29088,59760469,59765430,39035449,39037419
2000,2009,36982,11,6429,30542,63468250,63467921,41565327,41555130
2001,2009,37229,18,6396,30815,67183420,67185262,44654032,44652884
2002,2009,36579,27,6024,30528,64680743,64680745,43084896,43078898
2003,2009,35108,35,5984,29089,60662750,60664481,41013477,40996990
2004,2009,35329,45,6260,29024,61411837,61420925,41610003,41597565
2005,2009,38300,67,7891,30342,64462206,64467441,43623040,43602995
2006,2009,39402,136,8244,31022,64573513,64565292,43447033,43358957
2007,2009,39115,321,8133,30661,65462026,65432609,43245348,43068810
2008,2009,39811,1513,7660,30638,67158476,66470353,46198410,45514637
2009,2009,42754,10848,6722,25184,60196037,67255729,43363752,46949414
1995,2010,27533,0,4861,22672,43439148,43439351,29394017,29394220
1996,2010,27483,5,4666,22812,45503496,45503496,29961253,29953494
1997,2010,29070,3,4619,24448,48965674,48965674,32158471,32158471
1998,2010,31080,8,4845,26227,53886611,53890744,35437935,35435329
1999,2010,35142,7,6044,29091,59760469,59765430,39035449,39037419
2000,2010,36983,9,6429,30545,63468250,63467921,41565099,41555130
2001,2010,37229,18,6395,30816,67183420,67185225,44654032,44652847
2002,2010,36579,16,6024,30539,64680743,64680745,43084896,43078898
2003,2010,35108,21,5984,29103,60662882,60664590,41009911,41010914
2004,2010,35329,30,6260,29039,61413385,61421124,41602489,41590586
2005,2010,38300,37,7891,30372,64469685,64482580,43625815,43618452
2006,2010,39405,94,8248,31063,64577707,64591780,43438515,43362121
2007,2010,39115,120,8155,30840,65521565,65511292,43255284,43166185
2008,2010,39822,336,7880,31606,67267193,67179900,46048036,45832731
2009,2010,43645,1851,8313,33481,73248885,72575510,50879975,50181288
2010,2010,45261,11745,6536,26980,65816487,74084451,47922038,52173432
1995,2011,27533,1,4861,22671,43439148,43439351,29394017,29394220
1996,2011,27483,3,4666,22814,45503496,45503496,29953494,29953494
1997,2011,29070,2,4619,24449,48965674,48965674,32158471,32158471
1998,2011,31080,6,4846,26228,53886611,53890745,35437770,35431883
1999,2011,35142,5,6044,29093,59760469,59765430,39035449,39037419
2000,2011,36983,9,6430,30544,63468670,63468341,41565416,41555550
2001,2011,37229,12,6396,30821,67183420,67185225,44654032,44652847
2002,2011,36579,12,6024,30543,64680743,64680743,43084896,43078899
2003,2011,35108,16,5984,29108,60662882,60664590,41009911,41010914
2004,2011,35329,24,6261,29044,61413385,61421071,41600507,41592370
2005,2011,38300,23,7892,30385,64469685,64474746,43624208,43613963
2006,2011,39405,57,8254,31094,64578021,64604529,43423347,43389742
2007,2011,39115,71,8158,30886,65522328,65519280,43252931,43207461
2008,2011,39824,158,7900,31766,67281025,67257170,46013163,45904708
2009,2011,43655,386,8612,34657,73416898,73404094,50651176,50427716
2010,2011,46109,1946,8267,35896,79770213,78994966,55474156,54786576
2011,2011,43332,9997,6466,26869,63050190,69019106,44986446,47994257
1995,2012,27533,1,4861,22671,43439148,43439351,29394017,29394220
1996,2012,27483,5,4666,22812,45503496,45503496,29953494,29953494
1997,2012,29070,2,4618,24450,48965674,48965674,32158471,32158471
1998,2012,31080,6,4846,26228,53886611,53890745,35437434,35434641
1999,2012,35142,4,6045,29093,59760469,59765430,39035449,39037419
2000,2012,36983,7,6430,30546,63468670,63468341,41565085,41555550
2001,2012,37229,11,6397,30821,67183420,67185225,44654032,44652847
2002,2012,36579,11,6024,30544,64680743,64680743,43084896,43078899
2003,2012,35108,14,5984,29110,60662882,60664590,41009911,41010914
2004,2012,35330,16,6261,29053,61413867,61421432,41590557,41594063
2005,2012,38300,19,7890,30391,64469685,64473076,43623842,43613278
2006,2012,39405,37,8255,31113,64579131,64581860,43423420,43401835
2007,2012,39115,48,8162,30905,65523070,65519730,43246092,43208235
2008,2012,39824,93,7906,31825,67283584,67282050,45970293,45954680
2009,2012,43656,179,8642,34835,73440196,73432800,50601924,50471600
2010,2012,46129,334,8570,37225,79898936,79923594,55271371,55033626
2011,2012,44264,1720,8029,34515,73913433,73328664,50375201,49785292
2012,2012,42796,9989,6136,26671,62871410,69525116,45159796,48790334
1995,2013,27533,2,4861,22670,43439148,43439351,29394017,29394220
1996,2013,27483,2,4666,22815,45503496,45503496,29953494,29953494
1997,2013,29070,1,4619,24450,48965674,48965674,32158471,32158471
1998,2013,31080,7,4846,26227,53886611,53890745,35436938,35431530
1999,2013,35142,5,6045,29092,59760469,59765430,39035449,39037419
2000,2013,36983,6,6430,30547,63468566,63468236,41565697,41556297
2001,2013,37229,8,6397,30824,67183420,67185225,44654032,44652847
2002,2013,36579,9,6024,30546,64680743,64680743,43084896,43084896
2003,2013,35108,11,5984,29113,60662882,60664590,41009911,41010914
2004,2013,35330,16,6261,29053,61413867,61421432,41589929,41593511
2005,2013,38302,16,7890,30396,64470690,64474081,43624434,43614589
2006,2013,39405,27,8255,31123,64579172,64581899,43422054,43401591
2007,2013,39115,38,8164,30913,65523320,65518160,43245907,43219323
2008,2013,39824,61,7912,31851,67284793,67285133,45970340,45953071
2009,2013,43656,104,8644,34908,73437906,73444426,50570740,50492857
2010,2013,46132,154,8588,37390,80939176,80988557,56202933,56075575
2011,2013,44277,345,8270,35662,74090242,74067419,50223264,49981769
2012,2013,43673,1902,7585,34186,73407909,72672935,50855511,50221713
2013,2013,41628,10517,5551,25560,62697918,69558732,45416203,49305102
1995,2014,27533,1,4861,22671,43439148,43439351,29394017,29394220
1996,2014,27483,4,4666,22813,45503496,45503496,29953494,29953494
1997,2014,29070,0,4619,24451,48965674,48965674,32158471,32158471
1998,2014,31080,6,4846,26228,53886611,53890744,35436938,35434332
1999,2014,35142,4,6045,29093,59760469,59765430,39035449,39037419
2000,2014,36983,6,6430,30547,63468566,63468236,41565651,41556297
2001,2014,37229,6,6397,30826,67183420,67185225,44654032,44652847
2002,2014,36579,7,6024,30548,64680743,64680743,43084896,43084896
2003,2014,35108,10,5984,29114,60662882,60664590,41009911,41010914
2004,2014,35330,12,6261,29057,61413867,61421432,41588813,41592864
2005,2014,38302,16,7890,30396,64470690,64474081,43624089,43625224
2006,2014,39405,15,8257,31133,64579172,64580842,43421047,43400534
2007,2014,39115,29,8164,30922,65523320,65517540,43244543,43227418
2008,2014,39824,33,7916,31875,67284979,67285317,45965222,45952356
2009,2014,43656,67,8645,34944,73449079,73452042,50572016,50523665
2010,2014,46133,79,8589,37465,80940431,80983488,56148605,56114156
2011,2014,44278,148,8290,35840,74121372,74113581,50097912,49973905
2012,2014,43687,346,7878,35463,73495145,73507329,50624340,50496651
2013,2014,42439,2120,7019,33300,73699296,73079596,51548843,50950814
2014,2014,41667,10448,5596,25623,63697925,69725498,45784686,48810248
